"Open file may not be closed","A function may return before closing a file that was opened in the function. Closing resources in the same function that opened them ties the lifetime of the resource to that of the function call, making it easier to avoid and detect resource leaks.","warning","This file may not be closed at [[""this exit point""|""relative:///Tests/Kernel/TestProcFSWrite.cpp:34:9:34:15""]].
This file may not be closed at [[""this exit point""|""relative:///Tests/Kernel/TestProcFSWrite.cpp:43:1:43:1""]].","/Tests/Kernel/TestProcFSWrite.cpp","29","14","29","17"
"Open file may not be closed","A function may return before closing a file that was opened in the function. Closing resources in the same function that opened them ties the lifetime of the resource to that of the function call, making it easier to avoid and detect resource leaks.","warning","This file may not be closed at [[""this exit point""|""relative:///Tests/Kernel/stress-writeread.cpp:102:9:102:28""]].
This file may not be closed at [[""this exit point""|""relative:///Tests/Kernel/stress-writeread.cpp:119:17:119:36""]].
This file may not be closed at [[""this exit point""|""relative:///Tests/Kernel/stress-writeread.cpp:140:29:140:48""]].
This file may not be closed at [[""this exit point""|""relative:///Tests/Kernel/stress-writeread.cpp:148:25:148:44""]].
This file may not be closed at [[""this exit point""|""relative:///Tests/Kernel/stress-writeread.cpp:156:21:156:40""]].","/Tests/Kernel/stress-writeread.cpp","99","14","99","17"
"Open file may not be closed","A function may return before closing a file that was opened in the function. Closing resources in the same function that opened them ties the lifetime of the resource to that of the function call, making it easier to avoid and detect resource leaks.","warning","This file may not be closed at [[""this exit point""|""relative:///Tests/Kernel/unveil-symlinks.cpp:46:9:46:17""]].","/Tests/Kernel/unveil-symlinks.cpp","43","14","43","17"
"Open file may not be closed","A function may return before closing a file that was opened in the function. Closing resources in the same function that opened them ties the lifetime of the resource to that of the function call, making it easier to avoid and detect resource leaks.","warning","This file may not be closed at [[""this exit point""|""relative:///Tests/Kernel/unveil-symlinks.cpp:53:9:53:17""]].
This file may not be closed at [[""this exit point""|""relative:///Tests/Kernel/unveil-symlinks.cpp:58:9:58:17""]].
This file may not be closed at [[""this exit point""|""relative:///Tests/Kernel/unveil-symlinks.cpp:64:9:64:17""]].
This file may not be closed at [[""this exit point""|""relative:///Tests/Kernel/unveil-symlinks.cpp:71:9:71:17""]].
This file may not be closed at [[""this exit point""|""relative:///Tests/Kernel/unveil-symlinks.cpp:75:5:75:13""]].","/Tests/Kernel/unveil-symlinks.cpp","50","5","50","37"
"Open file may not be closed","A function may return before closing a file that was opened in the function. Closing resources in the same function that opened them ties the lifetime of the resource to that of the function call, making it easier to avoid and detect resource leaks.","warning","This file may not be closed at [[""this exit point""|""relative:///Tests/Kernel/unveil-symlinks.cpp:64:9:64:17""]].","/Tests/Kernel/unveil-symlinks.cpp","61","5","61","34"
"Open file may not be closed","A function may return before closing a file that was opened in the function. Closing resources in the same function that opened them ties the lifetime of the resource to that of the function call, making it easier to avoid and detect resource leaks.","warning","This file may not be closed at [[""this exit point""|""relative:///Tests/Kernel/unveil-symlinks.cpp:71:9:71:17""]].
This file may not be closed at [[""this exit point""|""relative:///Tests/Kernel/unveil-symlinks.cpp:75:5:75:13""]].","/Tests/Kernel/unveil-symlinks.cpp","68","5","68","34"
"Open file may not be closed","A function may return before closing a file that was opened in the function. Closing resources in the same function that opened them ties the lifetime of the resource to that of the function call, making it easier to avoid and detect resource leaks.","warning","This file may not be closed at [[""this exit point""|""relative:///Tests/LibC/TestIo.cpp:476:1:476:1""]].","/Tests/LibC/TestIo.cpp","468","5","468","72"
"Open file may not be closed","A function may return before closing a file that was opened in the function. Closing resources in the same function that opened them ties the lifetime of the resource to that of the function call, making it easier to avoid and detect resource leaks.","warning","This file may not be closed at [[""this exit point""|""relative:///Tests/LibC/TestIo.cpp:476:1:476:1""]].","/Tests/LibC/TestIo.cpp","469","5","469","79"
"Open file may not be closed","A function may return before closing a file that was opened in the function. Closing resources in the same function that opened them ties the lifetime of the resource to that of the function call, making it easier to avoid and detect resource leaks.","warning","This file may not be closed at [[""this exit point""|""relative:///Tests/LibC/TestIo.cpp:476:1:476:1""]].","/Tests/LibC/TestIo.cpp","470","5","470","74"
"Open file may not be closed","A function may return before closing a file that was opened in the function. Closing resources in the same function that opened them ties the lifetime of the resource to that of the function call, making it easier to avoid and detect resource leaks.","warning","This file may not be closed at [[""this exit point""|""relative:///Tests/LibC/TestIo.cpp:476:1:476:1""]].","/Tests/LibC/TestIo.cpp","471","5","471","81"
"Open file may not be closed","A function may return before closing a file that was opened in the function. Closing resources in the same function that opened them ties the lifetime of the resource to that of the function call, making it easier to avoid and detect resource leaks.","warning","This file may not be closed at [[""this exit point""|""relative:///Tests/LibC/TestIo.cpp:476:1:476:1""]].","/Tests/LibC/TestIo.cpp","472","5","472","67"
"Open file may not be closed","A function may return before closing a file that was opened in the function. Closing resources in the same function that opened them ties the lifetime of the resource to that of the function call, making it easier to avoid and detect resource leaks.","warning","This file may not be closed at [[""this exit point""|""relative:///Tests/LibC/TestIo.cpp:476:1:476:1""]].","/Tests/LibC/TestIo.cpp","473","5","473","78"
"Open file may not be closed","A function may return before closing a file that was opened in the function. Closing resources in the same function that opened them ties the lifetime of the resource to that of the function call, making it easier to avoid and detect resource leaks.","warning","This file may not be closed at [[""this exit point""|""relative:///Tests/LibC/TestIo.cpp:476:1:476:1""]].","/Tests/LibC/TestIo.cpp","474","5","474","64"
"Open file may not be closed","A function may return before closing a file that was opened in the function. Closing resources in the same function that opened them ties the lifetime of the resource to that of the function call, making it easier to avoid and detect resource leaks.","warning","This file may not be closed at [[""this exit point""|""relative:///Tests/LibC/TestIo.cpp:420:1:420:1""]].","/Tests/LibC/TestIo.cpp","411","14","411","17"
"Open file may not be closed","A function may return before closing a file that was opened in the function. Closing resources in the same function that opened them ties the lifetime of the resource to that of the function call, making it easier to avoid and detect resource leaks.","warning","This file may not be closed at [[""this exit point""|""relative:///Tests/LibC/TestIo.cpp:147:9:147:15""]].","/Tests/LibC/TestIo.cpp","137","14","137","17"
"Open file may not be closed","A function may return before closing a file that was opened in the function. Closing resources in the same function that opened them ties the lifetime of the resource to that of the function call, making it easier to avoid and detect resource leaks.","warning","This file may not be closed at [[""this exit point""|""relative:///Userland/DevTools/HackStudio/Editor.cpp:512:13:512:19""]].","/Userland/DevTools/HackStudio/Editor.cpp","509","18","509","21"
"Open file may not be closed","A function may return before closing a file that was opened in the function. Closing resources in the same function that opened them ties the lifetime of the resource to that of the function call, making it easier to avoid and detect resource leaks.","warning","This file may not be closed at [[""this exit point""|""relative:///Userland/Libraries/LibC/dirent.cpp:29:5:29:25""]].","/Userland/Libraries/LibC/dirent.cpp","26","14","26","17"
"Open file may not be closed","A function may return before closing a file that was opened in the function. Closing resources in the same function that opened them ties the lifetime of the resource to that of the function call, making it easier to avoid and detect resource leaks.","warning","This file may not be closed at [[""this exit point""|""relative:///Userland/Libraries/LibC/semaphore.cpp:108:9:108:26""]].
This file may not be closed at [[""this exit point""|""relative:///Userland/Libraries/LibC/semaphore.cpp:112:9:112:26""]].
This file may not be closed at [[""this exit point""|""relative:///Userland/Libraries/LibC/semaphore.cpp:121:13:121:43""]].
This file may not be closed at [[""this exit point""|""relative:///Userland/Libraries/LibC/semaphore.cpp:132:13:132:30""]].
This file may not be closed at [[""this exit point""|""relative:///Userland/Libraries/LibC/semaphore.cpp:136:9:136:26""]].
This file may not be closed at [[""this exit point""|""relative:///Userland/Libraries/LibC/semaphore.cpp:140:9:140:26""]].
This file may not be closed at [[""this exit point""|""relative:///Userland/Libraries/LibC/semaphore.cpp:148:9:148:26""]].
This file may not be closed at [[""this exit point""|""relative:///Userland/Libraries/LibC/semaphore.cpp:154:9:154:26""]].
This file may not be closed at [[""this exit point""|""relative:///Userland/Libraries/LibC/semaphore.cpp:158:5:158:15""]].","/Userland/Libraries/LibC/semaphore.cpp","98","14","98","17"
