"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'offset' is assigned a value that is never used.","/AK/FloatingPointStringConversions.cpp","1631","29","1631","29"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'offset' is assigned a value that is never used.","/AK/FloatingPointStringConversions.cpp","1636","17","1636","34"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'max_word_counter' is assigned a value that is never used.","/AK/FloatingPointStringConversions.cpp","1383","45","1383","81"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'copy' is assigned a value that is never used.","/AK/FloatingPointStringConversions.cpp","1650","33","1650","37"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'inverted' is assigned a value that is never used.","/AK/BigIntBase.h","514","40","514","47"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'inverted' is assigned a value that is never used.","/AK/BigIntBase.h","519","40","519","47"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'compare_value' is assigned a value that is never used.","/AK/BigIntBase.h","283","36","283","46"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'fill' is assigned a value that is never used.","/AK/BigIntBase.h","497","29","497","39"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'any_debug_formatters' is assigned a value that is never used.","/AK/Format.h","300","48","300","95"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'base' is assigned a value that is never used.","/AK/Format.cpp","757","15","757","15"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'surrogate_length' is assigned a value that is never used.","/AK/GenericLexer.cpp","181","41","181","41"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'any_debug_formatters' is assigned a value that is never used.","/AK/Format.h","300","48","300","93"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'res' is assigned a value that is never used.","/AK/OptionParser.cpp","36","15","36","16"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'that' is assigned a value that is never used.","/AK/RefCounted.h","59","59","59","62"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'index' is assigned a value that is never used.","/AK/StringUtils.cpp","398","18","398","36"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'ReturnsErrorOr' is assigned a value that is never used.","/AK/StringView.h","180","41","180","83"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'code_point' is assigned a value that is never used.","/AK/Utf16View.cpp","238","45","238","45"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'code_point' is assigned a value that is never used.","/AK/Utf8View.cpp","78","101","78","101"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'value' is assigned a value that is never used.","/AK/Utf8View.cpp","168","109","168","109"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'name_index' is assigned a value that is never used.","/Build/x86_64/Userland/Libraries/LibLocale/DateTimeFormatData.cpp","17251","29","17251","29"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'symbol_list_index' is assigned a value that is never used.","/Build/x86_64/Userland/Libraries/LibLocale/DateTimeFormatData.cpp","17106","33","17106","33"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'keywords_index' is assigned a value that is never used.","/Build/x86_64/Userland/Libraries/LibLocale/LocaleData.cpp","17704","29","17704","29"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'number_format_list_index' is assigned a value that is never used.","/Build/x86_64/Userland/Libraries/LibLocale/NumberFormatData.cpp","11317","40","11317","40"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'emoji' is assigned a value that is never used.","/Build/x86_64/Userland/Libraries/LibUnicode/EmojiData.cpp","5490","29","5490","41"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'default_attributes' is assigned a value that is never used.","/Build/x86_64/Userland/Libraries/LibWeb/Bindings/AbortControllerConstructor.cpp","120","46","120","70"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'this_object' is assigned a value that is never used.","/Build/x86_64/Userland/Libraries/LibWeb/Bindings/AbortControllerPrototype.cpp","111","31","111","37"
"Variable is assigned a value that is never read","Assigning a value to a variable that is not used may indicate an error in the code.","warning","Variable 'default_attributes' is assigned a value that is never used.","/Build/x86_64/Userland/Libraries/LibWeb/Bindings/AbortSignalConstructor.cpp","111","46","111","70"
