"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/AK/Function.h","260","13","260","25"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Kernel/FileSystem/VirtualFileSystem.cpp","292","20","292","24"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Kernel/Memory/MemoryManager.cpp","465","13","465","24"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Kernel/Syscalls/inode_watcher.cpp","55","16","55","28"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Kernel/Thread.cpp","438","39","438","44"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/AK/DisjointChunks.h","289","17","289","21"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/AK/DisjointChunks.h","118","17","118","21"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Tests/Kernel/crash.cpp","105","14","105","20"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Applications/Spreadsheet/SpreadsheetWidget.cpp","491","43","491","46"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Applications/ThemeEditor/MainWidget.cpp","363","5","363","57"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/DevTools/Profiler/Profile.cpp","195","26","195","29"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibC/dirent.cpp","38","5","38","8"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibC/malloc.cpp","506","9","506","17"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibC/malloc.cpp","518","13","518","21"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibC/malloc.cpp","525","13","525","21"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibC/malloc.cpp","533","9","533","17"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibC/stdio.cpp","1210","5","1210","8"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibC/stdio.cpp","161","33","161","36"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibC/stdio.cpp","194","26","194","36"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibC/stdlib.cpp","479","14","479","16"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibC/unistd.cpp","451","20","451","28"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibELF/Relocation.cpp","85","14","85","20"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibGL/Matrix.cpp","91","5","91","77"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibGL/Matrix.cpp","60","5","60","77"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibGUI/Menu.cpp","268","5","268","7"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibGUI/VimEditingEngine.cpp","137","20","137","30"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibGfx/SystemTheme.cpp","44","20","44","23"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibGfx/SystemTheme.cpp","143","5","143","40"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibJS/Runtime/ArrayBuffer.h","69","17","69","19"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibJS/Runtime/ECMAScriptFunctionObject.cpp","49","194","49","202"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibJS/Runtime/Intl/DateTimeFormat.cpp","627","74","627","87"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibJS/SafeFunction.h","242","13","242","25"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibJS/Runtime/Temporal/Duration.cpp","1288","56","1288","63"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibJS/Runtime/Temporal/Duration.cpp","1378","63","1378","70"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/Userland/Libraries/LibJS/Runtime/Temporal/Duration.cpp","1419","66","1419","76"
